beta0,control_gamma_pt_zero,threshold,max_step,threshold_reached,operational_RG_scale,log_scale_at_stop,gmax_at_stop,exchange_trace_real_at_stop,exchange_00_real_at_stop,exchange_00_imag_at_stop,exchange_01_real_at_stop,exchange_01_imag_at_stop,exchange_10_real_at_stop,exchange_10_imag_at_stop,exchange_11_real_at_stop,exchange_11_imag_at_stop,exchange_hermiticity_error,g_hermiticity_error,solver_function_evaluations,solver_status
0.35,0,0.4,0.01,1,0.17580196847862017,1.496832621261483,0.39999999999999997,0.6493444012458489,0.28852265714176184,0.0,0.0,-2.6405810455128246e-19,0.0,2.6405810455128246e-19,0.360821744104087,0.0,0.0,0.0,902,1
0.35,0,0.4,0.005,1,0.17580196847866297,1.4968326212612397,0.3999999999999999,0.6493444012460481,0.28852265714188097,0.0,0.0,1.4765661823214665e-20,0.0,-1.4765661823214665e-20,0.3608217441041672,0.0,0.0,0.0,1802,1
0.35,0,0.5,0.02,1,0.15407003293453003,1.6287835453545665,0.49999999999999994,0.7166333656726585,0.310491468167759,0.0,0.0,3.569347147245096e-19,0.0,-3.569347147245096e-19,0.40614189750489943,0.0,0.0,0.0,494,1
0.35,0,0.5,0.01,1,0.154070032936913,1.6287835453390995,0.5000000000000001,0.7166333656837075,0.310491468174581,0.0,0.0,-2.333082415971016e-19,0.0,2.333082415971016e-19,0.4061418975091265,0.0,0.0,0.0,980,1
0.35,0,0.5,0.005,1,0.15407003293695865,1.6287835453388033,0.5,0.7166333656839137,0.31049146817470635,0.0,0.0,-5.692542511392893e-20,0.0,5.692542511392893e-20,0.4061418975092074,0.0,0.0,0.0,1958,1
0.35,0,0.6,0.02,1,0.13811003533933364,1.7381400787436752,0.5999999999999998,0.7949048988292902,0.3369967066581805,0.0,0.0,4.592503002120949e-19,0.0,-4.592503002120949e-19,0.4579081921711097,0.0,0.0,0.0,530,1
0.35,0,0.6,0.01,1,0.13811003532844554,1.7381400788225114,0.6000000000000003,0.7949048987928918,0.3369967066386626,0.0,0.0,-2.853872452867485e-19,0.0,2.853872452867485e-19,0.45790819215422923,0.0,0.0,0.0,1046,1
0.35,0,0.6,0.005,1,0.13811003532856317,1.7381400788216597,0.6,0.7949048987935299,0.33699670663911857,0.0,0.0,-8.203679900454686e-21,0.0,8.203679900454686e-21,0.45790819215441136,0.0,0.0,0.0,2090,1
0.35,0,0.75,0.02,1,0.12103030558722087,1.8701498300761048,0.7499999999999999,0.9320414208656737,0.38527205999663416,0.0,0.0,4.462245426734709e-19,0.0,-4.462245426734709e-19,0.5467693608690395,0.0,0.0,0.0,566,1
0.35,0,0.75,0.01,1,0.12103030559207428,1.870149830036004,0.75,0.9320414208968903,0.38527206002282427,0.0,0.0,-5.430887873701933e-19,0.0,5.430887873701933e-19,0.5467693608740661,0.0,0.0,0.0,1130,1
0.35,0,0.75,0.005,1,0.12103030559205373,1.8701498300361739,0.7499999999999996,0.9320414208969459,0.38527206002290126,0.0,0.0,2.6094014924033457e-19,0.0,-2.6094014924033457e-19,0.5467693608740446,0.0,0.0,0.0,2252,1
0.35,0,1.0,0.02,1,0.10346483836695612,2.0269589746492764,1.0000000000000004,1.2035381976745578,0.4861136099576085,0.0,0.0,2.639302035537204e-19,0.0,-2.639302035537204e-19,0.7174245877169493,0.0,0.0,0.0,614,1
0.35,0,1.0,0.01,1,0.10346483838570267,2.026958974468089,0.9999999999999998,1.203538197960101,0.48611361024519195,0.0,0.0,-7.159847546390568e-19,0.0,7.159847546390568e-19,0.717424587714909,0.0,0.0,0.0,1220,1
0.35,0,1.0,0.005,1,0.10346483838621003,2.0269589744631853,0.9999999999999999,1.203538197969829,0.48611361025497535,0.0,0.0,4.333561834326889e-19,0.0,-4.333561834326889e-19,0.7174245877148537,0.0,0.0,0.0,2438,1
