beta0,control_gamma_pt_zero,omega,rho_min_eigenvalue,rho_max_eigenvalue,rho_trace,resolvent_sandwich_identity_error
0.5,0,-0.28800000000000003,0.0653989739858215,0.719388713844037,0.7847876878298585,1.1102365841740235e-16
0.5,0,-0.28700000000000003,0.06578757374444094,0.7236633111888513,0.7894508849332922,1.438446675805863e-17
0.5,0,-0.28600000000000003,0.06617944325830398,0.7279738758413442,0.7941533190996481,2.7888773045382075e-17
0.5,0,-0.28500000000000003,0.06657461671817838,0.7323207838999628,0.7988954006181411,2.77691421176083e-17
0.5,0,-0.28400000000000003,0.06697312872071004,0.7367044159278104,0.8036775446485205,1.1177633409463702e-16
0.5,0,-0.28300000000000003,0.06737501427336319,0.741125157006995,0.8085001712803582,2.2325743440691516e-16
0.5,0,-0.28200000000000003,0.06778030879941027,0.7455833967935134,0.8133637055929236,1.502989832002456e-17
0.5,0,-0.281,0.06818904814296987,0.7500795295726689,0.8182685777156388,5.748568405366802e-17
0.5,0,-0.28,0.06860126857409277,0.7546139543150211,0.8232152228891139,2.9463348789085e-17
0.5,0,-0.279,0.06901700679389652,0.7591870747328622,0.8282040815267586,2.281467696046065e-16
0.5,0,-0.278,0.06943629993974747,0.7637992993372229,0.8332355992769703,2.220629883232633e-16
0.5,0,-0.277,0.06985918559049054,0.7684510414953961,0.8383102270858867,2.2229523399488575e-16
0.5,0,-0.276,0.07028570177172548,0.7731427194889813,0.8434284212607067,3.587836974748743e-17
0.5,0,-0.275,0.07071588696113092,0.7778747565724405,0.8485906435335715,2.261737759867004e-16
0.5,0,-0.274,0.0711497800938331,0.7826475810321643,0.8537973611259974,6.033670515990054e-17
0.5,0,-0.273,0.07158742056782164,0.7874616262460384,0.8590490468138601,1.7626011341870334e-17
0.5,0,-0.272,0.07202884824940951,0.7923173307435047,0.8643461789929143,2.2496940490068487e-16
0.5,0,-0.271,0.07247410347873785,0.7972151382661166,0.8696892417448543,3.86222998653096e-17
0.5,0,-0.27,0.07292322707532428,0.8021554978285674,0.8750787249038918,5.561274277307816e-17
0.5,0,-0.269,0.07337626034365452,0.8071388637802002,0.8805151241238547,6.910670834314489e-17
0.5,0,-0.268,0.07383324507881575,0.8121656958669736,0.8859989409457893,1.171852358418683e-16
0.5,0,-0.267,0.07429422357217155,0.8172364592938877,0.8915306828660592,5.703468782256655e-17
0.5,0,-0.266,0.07475923861707702,0.8223516247878475,0.8971108634049245,2.2204487022556296e-16
0.5,0,-0.265,0.07522833351463294,0.8275116686609625,0.9027400021755954,2.7303408411791273e-17
0.5,0,-0.264,0.07570155207947833,0.8327170728742621,0.9084186249537405,8.349658445870504e-17
0.5,0,-0.263,0.07617893864561989,0.8379683251018194,0.9141472637474393,5.556691342405932e-17
0.5,0,-0.262,0.07666053807229675,0.8432659187952645,0.9199264568675614,2.223889841589528e-16
0.5,0,-0.261,0.07714639574987955,0.8486103532486754,0.925756748998555,2.860085411831432e-17
0.5,0,-0.26,0.07763655760580256,0.8540021336638286,0.9316386912696312,2.7951472618015807e-17
0.5,0,-0.259,0.07813107011052652,0.8594417712157921,0.9375728413263187,9.393513087663111e-18
0.5,0,-0.258,0.07862998028353103,0.8649297831188423,0.9435597634023734,1.1981371840904597e-16
0.5,0,-0.257,0.07913333569933513,0.8704666926926867,0.9496000283920218,5.577667130712614e-17
0.5,0,-0.256,0.07964118449354245,0.8760530294289675,0.95569421392251,2.1774212826152662e-17
0.5,0,-0.255,0.08015357536891168,0.881689329058029,0.9618429044269406,1.1520505275071625e-16
0.5,0,-0.254,0.08067055760144726,0.8873761336159202,0.9680466912173674,2.7763676229138855e-17
0.5,0,-0.253,0.0811921810465101,0.8931139915116116,0.9743061725581217,1.1989162614770946e-16
0.5,0,-0.252,0.08171849614494522,0.8989034575943975,0.9806219537393427,1.1756358511754686e-16
0.5,0,-0.251,0.0822495539292233,0.9047450932214565,0.9869946471506797,3.8517063905855674e-17
0.5,0,-0.25,0.08278540602959442,0.910639466325539,0.9934248723551334,6.294749641306822e-17
0.5,0,-0.24900000000000003,0.08332610468025037,0.9165871514827548,0.9999132561630051,1.118936709554444e-16
0.5,0,-0.24800000000000003,0.08387170272549287,0.9225887299804221,1.006460432705915,1.1185788720346326e-16
0.5,0,-0.24700000000000003,0.08442225362590423,0.9286447898849466,1.0130670435108509,2.8296673322967405e-17
0.5,0,-0.24600000000000002,0.08497781146451769,0.9347559261096956,1.0197337375742133,2.3014641786611425e-16
0.5,0,-0.24500000000000002,0.08553843095298368,0.9409227404828209,1.0264611714358045,5.970092118508798e-17
0.5,0,-0.24400000000000002,0.08610416743772736,0.9471458418150016,1.033250009252729,1.1142465101357653e-16
0.5,0,-0.24300000000000002,0.08667507690609547,0.9534258459670513,1.0401009228731468,4.495351157958109e-17
0.5,0,-0.24200000000000002,0.08725121599248686,0.9597633759173559,1.0470145919098428,1.1609504830093702e-16
0.5,0,-0.24100000000000002,0.0878326419844623,0.9661590618290856,1.0539917038135478,2.2236324232250964e-16
0.5,0,-0.24000000000000002,0.08841941282883073,0.9726135411171379,1.0610329539459686,1.121834782481476e-16
0.5,0,-0.23900000000000002,0.08901158713770516,0.9791274585147571,1.0681390456524622,3.999745162781132e-17
0.5,0,-0.23800000000000002,0.08960922419452472,0.9857014661397718,1.0753106903342964,6.009455473986753e-17
0.5,0,-0.23700000000000002,0.09021238396003645,0.9923362235604012,1.0825486075204376,5.55673155888301e-17
