beta0,control_gamma_pt_zero,pole_index,pole_real,pole_halfwidth,coherent_channel,relative_rate_channel
0.5125000000000001,1,1,0.100625,0.12,0.100625,0.0
0.515,0,0,0.0,0.1414111536354303,0.10075,0.10300000000000001
0.515,0,1,0.0,0.09858884636456969,0.10075,0.10300000000000001
0.515,1,0,-0.10075,0.12,0.10075,0.0
0.515,1,1,0.10075,0.12,0.10075,0.0
0.5175000000000001,0,0,0.0,0.14316213235002345,0.100875,0.10350000000000002
0.5175000000000001,0,1,0.0,0.09683786764997653,0.100875,0.10350000000000002
0.5175000000000001,1,0,-0.100875,0.12,0.100875,0.0
0.5175000000000001,1,1,0.100875,0.12,0.100875,0.0
0.52,0,0,0.0,0.1447991935352745,0.101,0.10400000000000001
0.52,0,1,0.0,0.09520080646472548,0.101,0.10400000000000001
0.52,1,0,-0.101,0.12,0.101,0.0
0.52,1,1,0.101,0.12,0.101,0.0
0.5225000000000001,0,0,0.0,0.14634358318452528,0.101125,0.10450000000000002
0.5225000000000001,0,1,0.0,0.09365641681547471,0.101125,0.10450000000000002
0.5225000000000001,1,0,-0.101125,0.12,0.101125,0.0
0.5225000000000001,1,1,0.101125,0.12,0.101125,0.0
0.525,0,0,0.0,0.14781074432660873,0.10125,0.10500000000000001
0.525,0,1,0.0,0.09218925567339126,0.10125,0.10500000000000001
0.525,1,0,-0.10125,0.12,0.10125,0.0
0.525,1,1,0.10125,0.12,0.10125,0.0
0.5275000000000001,0,0,0.0,0.14921231546796665,0.101375,0.10550000000000002
0.5275000000000001,0,1,0.0,0.09078768453203336,0.101375,0.10550000000000002
0.5275000000000001,1,0,-0.101375,0.12,0.101375,0.0
0.5275000000000001,1,1,0.101375,0.12,0.101375,0.0
0.53,0,0,0.0,0.15055732318119508,0.1015,0.10600000000000001
0.53,0,1,0.0,0.08944267681880491,0.1015,0.10600000000000001
0.53,1,0,-0.1015,0.12,0.1015,0.0
0.53,1,1,0.1015,0.12,0.1015,0.0
0.5325000000000001,0,0,0.0,0.15185293353837293,0.10162500000000001,0.10650000000000003
0.5325000000000001,0,1,0.0,0.08814706646162707,0.10162500000000001,0.10650000000000003
0.5325000000000001,1,0,-0.10162500000000001,0.12,0.10162500000000001,0.0
0.5325000000000001,1,1,0.10162500000000001,0.12,0.10162500000000001,0.0
0.535,0,0,0.0,0.15310494676026531,0.10175000000000001,0.10700000000000001
0.535,0,1,0.0,0.08689505323973468,0.10175000000000001,0.10700000000000001
0.535,1,0,-0.10175000000000001,0.12,0.10175000000000001,0.0
0.535,1,1,0.10175000000000001,0.12,0.10175000000000001,0.0
0.5375000000000001,0,0,0.0,0.15431813478323092,0.10187500000000001,0.10750000000000003
0.5375000000000001,0,1,0.0,0.08568186521676907,0.10187500000000001,0.10750000000000003
0.5375000000000001,1,0,-0.10187500000000001,0.12,0.10187500000000001,0.0
0.5375000000000001,1,1,0.10187500000000001,0.12,0.10187500000000001,0.0
0.54,0,0,0.0,0.1554964786985977,0.10200000000000001,0.10800000000000001
0.54,0,1,0.0,0.08450352130140229,0.10200000000000001,0.10800000000000001
0.54,1,0,-0.10200000000000001,0.12,0.10200000000000001,0.0
